pokedex_number,name,type1,type2,hp,attack,defense,sp_attack,sp_defense,speed,abilities,gender_threshold
1,Bulbasaur,grass,poison,45,49,49,65,65,45,"['Overgrow', 'Chlorophyll']",31
2,Ivysaur,grass,poison,60,62,63,80,80,60,"['Overgrow', 'Chlorophyll']",31
3,Venusaur,grass,poison,80,100,123,122,120,80,"['Overgrow', 'Chlorophyll']",31
4,Charmander,fire,none,39,52,43,60,50,65,"['Blaze', 'Solar Power']",31
5,Charmeleon,fire,none,58,64,58,80,65,80,"['Blaze', 'Solar Power']",31
6,Charizard,fire,flying,78,104,78,159,115,100,"['Blaze', 'Solar Power']",31
7,Squirtle,water,none,44,48,65,50,64,43,"['Torrent', 'Rain Dish']",31
8,Wartortle,water,none,59,63,80,65,80,58,"['Torrent', 'Rain Dish']",31
9,Blastoise,water,none,79,103,120,135,115,78,"['Torrent', 'Rain Dish']",31
10,Caterpie,bug,none,45,30,35,20,20,45,"['Shield Dust', 'Run Away']",127
11,Metapod,bug,none,50,20,55,25,25,30,['Shed Skin'],127
12,Butterfree,bug,flying,60,45,50,90,80,70,"['Compoundeyes', 'Tinted Lens']",127
13,Weedle,bug,poison,40,35,30,20,20,50,"['Shield Dust', 'Run Away']",127
14,Kakuna,bug,poison,45,25,50,25,25,35,['Shed Skin'],127
15,Beedrill,bug,poison,65,150,40,15,80,145,"['Swarm', 'Sniper']",127
16,Pidgey,normal,flying,40,45,40,35,35,56,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",127
17,Pidgeotto,normal,flying,63,60,55,50,50,71,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",127
18,Pidgeot,normal,flying,83,80,80,135,80,121,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",127
19,Rattata,normal,dark,30,56,35,25,35,72,"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",127
20,Raticate,normal,dark,75,71,70,40,80,77,"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",127
21,Spearow,normal,flying,40,60,30,31,31,70,"['Keen Eye', 'Sniper']",127
22,Fearow,normal,flying,65,90,65,61,61,100,"['Keen Eye', 'Sniper']",127
23,Ekans,poison,none,35,60,44,40,54,55,"['Intimidate', 'Shed Skin', 'Unnerve']",127
24,Arbok,poison,none,60,95,69,65,79,80,"['Intimidate', 'Shed Skin', 'Unnerve']",127
